edge_id,source_canonical_stock_id,target_canonical_stock_id,source_ticker,target_ticker,relation_type,evidence_text,filing_form,filing_date,accepted_at,accession_number,primary_document,confidence,confidence_tier,source_weight,base_weight,snapshot_weight,valid_from,valid_to,directed,source_name,source_record_id,source_url,extraction_method,mapping_status,temporal_status,validation_status
8d35e5ca237adc2a5f8d92de8a023b98d551b4cdafcb5a4079e6f6fa4a3e79e8,NASDAQ100:ADBE,NASDAQ100:ADSK,ADBE,ADSK,supplier,"Adobe’s Substance suite of applications and Adobe Aero face competition from both hardware and software players in these nascent fields and competitors include Autodesk, Foundry, Quixel and Unity.",10-K,2020-01-21,2020-01-21T11:06:41.000Z,0000796343-20-000013,adbe10kfy19.htm,0.60,low,0.95,0.570000,0.002227,2020-01-21T11:06:41.000Z,,1,SEC EDGAR,0000796343-20-000013,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
384242796935f418658fc8958d166f77b393af4e1f1fc834b979c820bd6ff7a0,NASDAQ100:ADBE,NASDAQ100:MSFT,ADBE,MSFT,strategic_partner,"This open architecture offers scalability with a wide variety of supporting products and services, empowers users to quickly develop innovative applications to interact with consumers, and enables a broad industry ecosystem through our Open Data Initiative, an open alliance among Adobe, Microsoft, SAP and others.",10-K,2020-01-21,2020-01-21T11:06:41.000Z,0000796343-20-000013,adbe10kfy19.htm,0.82,medium,0.95,0.779000,0.003043,2020-01-21T11:06:41.000Z,,0,SEC EDGAR,0000796343-20-000013,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,accepted
565665f01bf03cb2958197821cdb8acf7688f24ed8d4ee9afcde29fceb1a46b6,NASDAQ100:ADBE,NASDAQ100:MSFT,ADBE,MSFT,strategic_partner,"This open architecture offers scalability with a wide variety of supporting products and services, empowers users to quickly develop innovative applications to interact with consumers and enables a broad industry ecosystem through our Open Data Initiative, an open alliance among Adobe, Microsoft and SAP.",10-K,2020-01-21,2020-01-21T11:06:41.000Z,0000796343-20-000013,adbe10kfy19.htm,0.82,medium,0.95,0.779000,0.003043,2020-01-21T11:06:41.000Z,,0,SEC EDGAR,0000796343-20-000013,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,accepted
f748df90555ef1399cdb76def1da742de66528cf9196b71fb3447c4fecd8934b,NASDAQ100:ADBE,NASDAQ100:MTCH,ADBE,MTCH,customer,"We believe competitive factors in our markets include the proven performance, security, scalability, flexibility and reliability of services; the strategic relationships and integration with third-party applications; the intuitiveness and visual appeal of user interfaces; demonstrable cost-effective benefits to customers; pricing; the flexibility of services to match changing business demands; enterprise-level customer service and training; perceived market leadership; the usability of services; real-time data and reporting; independence from portals and search engines; the ability to deploy the services globally; and success in educating customers in how to utilize services effectively.",10-K,2020-01-21,2020-01-21T11:06:41.000Z,0000796343-20-000013,adbe10kfy19.htm,0.60,low,0.95,0.570000,0.002227,2020-01-21T11:06:41.000Z,,1,SEC EDGAR,0000796343-20-000013,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
ec3df586380a8cbc0f5af671952a2ea19322285da54e96024fea3f22359c3b2c,NASDAQ100:INTC,NASDAQ100:AMD,INTC,AMD,customer,"European Commission Competition Matter In 2001, the EC commenced an investigation regarding claims by Advanced Micro Devices, Inc. (AMD) that we used unfair business practices to persuade customers to buy our microprocessors.",10-K,2020-01-24,2020-01-23T23:39:55.000Z,0000050863-20-000011,a12282019q4-10kdocument.htm,0.60,low,0.95,0.570000,0.002244,2020-01-23T23:39:55.000Z,,1,SEC EDGAR,0000050863-20-000011,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/a12282019q4-10kdocument.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
ff9b0a59ece6229d6fcda67ccdfef3eb9d752e536bfe5cac8d3310d7f0525855,NASDAQ100:CMCSA,NASDAQ100:NFLX,CMCSA,NFLX,customer,"Through the X1 platform, customers have integrated search functionality, including the use of a voice-activated remote control, personalized recommendations and access to, and integration of, certain third-party internet apps, such as Netflix, Amazon Prime Video and YouTube.",10-K,2020-01-30,2020-01-30T21:41:57.000Z,0001166691-20-000008,cmcsa-12312019x10k.htm,0.60,low,0.95,0.570000,0.002305,2020-01-30T21:41:57.000Z,,1,SEC EDGAR,0001166691-20-000008,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/cmcsa-12312019x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
8441199acba269b4f25c5a2cb7345363c3849641ed82fc8302818731d8ef046f,NASDAQ100:CMCSA,NASDAQ100:NFLX,CMCSA,NFLX,customer,"Sky Q customers are offered personalized content recommendations and the use of a voice activated remote control, as well as integrated access to content from other providers such as Netflix, Spotify, Vevo and YouTube.",10-K,2020-01-30,2020-01-30T21:41:57.000Z,0001166691-20-000008,cmcsa-12312019x10k.htm,0.60,low,0.95,0.570000,0.002305,2020-01-30T21:41:57.000Z,,1,SEC EDGAR,0001166691-20-000008,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/cmcsa-12312019x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
c8be9baf9a2e897a2724b453b4e31b22590cb914cb67ab7de60ec72317ca8a21,NASDAQ100:MTCH,NASDAQ100:META,MTCH,META,supplier,"For example, as a result of limited visibility into encrypted products, we have fewer data signals from WhatsApp user accounts and primarily rely on phone numbers and device information to match WhatsApp user accounts with accounts on our other products.",10-K,2020-01-30,2020-01-30T02:12:14.000Z,0001326801-20-000013,fb-12312019x10k.htm,0.60,low,0.95,0.570000,0.002305,2020-01-30T02:12:14.000Z,,1,SEC EDGAR,0001326801-20-000013,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
3ea28e04d6508745598a680a75add4beb0500ae57d5d844281da55741ab7c70b,NASDAQ100:AAPL,NASDAQ100:CHTR,AAPL,CHTR,supplier,"Other online video business models and products have also developed, some offered by programmers that have not traditionally sold programming directly to consumers, including, (i) subscription video on demand (“SVOD”) services such as Netflix, Apple TV+, Amazon Prime, Hulu Plus, Disney+, HBO Now, CBS All Access, Starz and Showtime Anytime, (ii) ad-supported free online video products, including YouTube and Pluto TV, some of which offer programming for free to consumers that we currently purchase for a fee, (iii) pay-per-view products, such as iTunes and Amazon Instant, and (iv) additional offerings from mobile providers which continue to integrate and bundle video services and mobile products.",10-K,2020-01-31,2020-01-31T12:08:17.000Z,0001091667-20-000024,chtr12312019-10k.htm,0.60,low,0.95,0.570000,0.002314,2020-01-31T12:08:17.000Z,,1,SEC EDGAR,0001091667-20-000024,https://www.sec.gov/Archives/edgar/data/1091667/000109166720000024/chtr12312019-10k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
a165ee361b4f4276bb3b54e3c77898dbffb1582f2aff8124c990f8c0ddab3420,NASDAQ100:EBAY,NASDAQ100:BIDU,EBAY,BIDU,customer,"In addition, sellers are increasingly utilizing multiple sales channels, including the acquisition of new customers by paying for search-related advertisements on horizontal search engine sites, such as Google, Naver and Baidu.",10-K,2020-01-31,2020-01-31T21:53:51.000Z,0001065088-20-000006,ebay201910-k.htm,0.60,low,0.95,0.570000,0.002314,2020-01-31T21:53:51.000Z,,1,SEC EDGAR,0001065088-20-000006,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/ebay201910-k.htm,deterministic explicit-entity and relation-pattern extraction v2,unique_nasdaq100_match,public_at_sec_acceptance,candidate_review_required
